relative_path,directory,filename,stem,family,name_prefix,virtual_layer_id,size_bytes,zip_status,entry_count,entry_file_count,entry_dir_count,entry_uncompressed_bytes,entry_extension_counts,has_tiff,has_wms_xml,metadata_entry_count,has_category_metadata,has_value_metadata
virtual_layers/virtualspecies.columbiadunemoth.524.zip,virtual_layers,virtualspecies.columbiadunemoth.524.zip,virtualspecies.columbiadunemoth.524,virtual_layer,virtualspecies.columbiadunemoth.524,524,1154071,ok,2,2,0,542226210,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.columbialewisialewisiacolumbianavarcolumbiana.182.zip,virtual_layers,virtualspecies.columbialewisialewisiacolumbianavarcolumbiana.182.zip,virtualspecies.columbialewisialewisiacolumbianavarcolumbiana.182,virtual_layer,virtualspecies.columbialewisialewisiacolumbianavarcolumbiana.182,182,1157307,ok,2,2,0,542224499,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.columbiancarpetmossbryoerythrophyllumcolumbianum.1020.zip,virtual_layers,virtualspecies.columbiancarpetmossbryoerythrophyllumcolumbianum.1020.zip,virtualspecies.columbiancarpetmossbryoerythrophyllumcolumbianum.1020,virtual_layer,virtualspecies.columbiancarpetmossbryoerythrophyllumcolumbianum.1020,1020,1139505,ok,2,2,0,542225199,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.columbiangoldenweedpyrrocomacarthamoidesvarcarthamoides.575.zip,virtual_layers,virtualspecies.columbiangoldenweedpyrrocomacarthamoidesvarcarthamoides.575.zip,virtualspecies.columbiangoldenweedpyrrocomacarthamoidesvarcarthamoides.575,virtual_layer,virtualspecies.columbiangoldenweedpyrrocomacarthamoidesvarcarthamoides.575,575,1136159,ok,2,2,0,542225799,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.columbianwatermealwolffiacolumbiana.220.zip,virtual_layers,virtualspecies.columbianwatermealwolffiacolumbiana.220.zip,virtualspecies.columbianwatermealwolffiacolumbiana.220,virtual_layer,virtualspecies.columbianwatermealwolffiacolumbiana.220,220,1116752,ok,2,2,0,542224358,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.columbiasculpincottushubbsi.1005.zip,virtual_layers,virtualspecies.columbiasculpincottushubbsi.1005.zip,virtualspecies.columbiasculpincottushubbsi.1005,virtual_layer,virtualspecies.columbiasculpincottushubbsi.1005,1005,1122091,ok,2,2,0,542232343,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.columbiaspottedfrogranaluteiventris.75.zip,virtual_layers,virtualspecies.columbiaspottedfrogranaluteiventris.75.zip,virtualspecies.columbiaspottedfrogranaluteiventris.75,virtual_layer,virtualspecies.columbiaspottedfrogranaluteiventris.75,75,2432962,ok,2,2,0,542234510,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.commonbluecupgithopsisspecularioides.598.zip,virtual_layers,virtualspecies.commonbluecupgithopsisspecularioides.598.zip,virtualspecies.commonbluecupgithopsisspecularioides.598,virtual_layer,virtualspecies.commonbluecupgithopsisspecularioides.598,598,1134118,ok,2,2,0,542224984,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.commonclarkiaclarkiarhomboidea.187.zip,virtual_layers,virtualspecies.commonclarkiaclarkiarhomboidea.187.zip,virtualspecies.commonclarkiaclarkiarhomboidea.187,virtual_layer,virtualspecies.commonclarkiaclarkiarhomboidea.187,187,1115101,ok,2,2,0,542224443,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.commondowningiadowningiaelegans.56.zip,virtual_layers,virtualspecies.commondowningiadowningiaelegans.56.zip,virtualspecies.commondowningiadowningiaelegans.56,virtual_layer,virtualspecies.commondowningiadowningiaelegans.56,56,1114047,ok,2,2,0,542224354,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.commongoldeneyebucephalaclangula.1114.zip,virtual_layers,virtualspecies.commongoldeneyebucephalaclangula.1114.zip,virtualspecies.commongoldeneyebucephalaclangula.1114,virtual_layer,virtualspecies.commongoldeneyebucephalaclangula.1114,1114,2746848,ok,2,2,0,542239609,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
virtual_layers/virtualspecies.commonmurreuriaaalge.384.zip,virtual_layers,virtualspecies.commonmurreuriaaalge.384.zip,virtualspecies.commonmurreuriaaalge.384,virtual_layer,virtualspecies.commonmurreuriaaalge.384,384,1124980,ok,2,2,0,542226123,"{""tiff"": 1, ""txt"": 1}",true,false,1,false,false
